"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
83,0.25,0.001,"ASMQ_PPQ",0.19504395,0.01643805,0,0.39954435,0.08879215,0.0026814175,0.25075525,0.0351947,0,0.3419629,0.04638955,0,0.93669105,0.602661,0.1250422,0.9657649,0.715444,0.37527015
84,0.25,0.001,"ASMQ_PPQ",0.20157755,0.022579,0,0.39449125,0.08891805,0.0025745285,0.23900525,0.0332529,0,0.339142,0.04709465,0,0.94114195,0.611391,0.172328845,0.96509455,0.701123,0.3351967
85,0.25,0.001,"ASMQ_PPQ",0.1949897,0.01577855,0,0.36565455,0.0866307,0.004727333,0.2574324,0.0282463,0,0.3253051,0.04639205,0,0.9436701,0.62094,0.17232409,0.9692441,0.7181665,0.3009592
86,0.25,0.001,"ASMQ_PPQ",0.198887,0.01511345,0,0.357616,0.10145275,0.004037805,0.28190855,0.02841,0,0.32125585,0.04492435,0,0.9522305,0.6164105,0.166790345,0.9718392,0.711453,0.2823524
87,0.25,0.001,"ASMQ_PPQ",0.21128835,0.01325125,0,0.3393485,0.09479675,0.0046953805,0.2975454,0.02301865,0,0.33043745,0.04582935,0,0.9581829,0.620405,0.17190514,0.96835035,0.7203745,0.2526801
88,0.25,0.001,"ASMQ_PPQ",0.20572875,0.0143435,0,0.35512085,0.08968145,0.0050616375,0.30254585,0.0286535,0,0.33128585,0.04699215,0,0.9570065,0.6215575,0.159060665,0.97348565,0.7086695,0.2874425
89,0.25,0.001,"ASMQ_PPQ",0.20565085,0.013163,0,0.38680775,0.09075315,0.003776869,0.311726,0.0284634,0,0.33569365,0.0449174,0,0.94429615,0.612311,0.180716965,0.97771665,0.725833,0.26229655
90,0.25,0.001,"ASMQ_PPQ",0.2057479,0.01308965,0,0.38218525,0.08476905,0.006186304,0.34043995,0.03191815,0,0.33037665,0.04907865,0,0.95085475,0.6397255,0.150870965,0.96833145,0.7250955,0.29038585
91,0.25,0.001,"ASMQ_PPQ",0.2133837,0.014668,0,0.3710443,0.0897436,0.0065271175,0.3377562,0.0271864,0,0.30848705,0.05061295,0,0.95653245,0.6320605,0.13466935,0.96383015,0.716028,0.28905875
92,0.25,0.001,"ASMQ_PPQ",0.2214367,0.01338745,0,0.4036183,0.0849417,0.0077010435,0.34348585,0.02775355,0,0.2995455,0.0494186,0,0.9468795,0.626443,0.16980965,0.9709414,0.7259555,0.2897207
93,0.25,0.001,"ASMQ_PPQ",0.21706675,0.0130955,0,0.43422855,0.0956012,0.006427798,0.37403575,0.0236644,0,0.3108078,0.04329,0,0.96234485,0.630063,0.1669984,0.9728582,0.7258185,0.31138065
94,0.25,0.001,"ASMQ_PPQ",0.20952615,0.01307815,0,0.4242636,0.0901579,0.0073787135,0.3501928,0.0232684,0,0.32165835,0.04376285,0,0.9627316,0.609083,0.1504473,0.9845666,0.721356,0.28492
95,0.25,0.001,"ASMQ_PPQ",0.24079725,0.010355895,0,0.43029135,0.1058045,0.0038263675,0.34516185,0.0255567,0,0.33652145,0.0475606,0,0.9648372,0.613783,0.15440615,0.98596565,0.726223,0.25813655
